id_pub,anio,mes,cuenca,contrato,precio_distribuidora,precio_gnc,precio_usina,precio_industria,precio_otros,precio_ppp,precio_expo,indice_tiempo
1,2019,1,Austral Santa Cruz,FIRME,3.56,3.43,3.10,3.27,3.75,3.30,2.00,2019-01
2,2019,1,Austral Santa Cruz,INTERRUMPIBLE,3.04,3.54,2.29,2.38,0.00,2.39,3.25,2019-01
3,2019,1,Austral Santa Cruz,TOTAL,3.40,3.44,2.65,3.13,3.75,3.03,3.08,2019-01
4,2019,1,Austral Tierra del Fuego,FIRME,3.66,3.33,3.30,3.39,0.00,3.45,0.00,2019-01
5,2019,1,Austral Tierra del Fuego,INTERRUMPIBLE,3.43,0.00,2.33,2.28,0.00,2.37,3.49,2019-01
6,2019,1,Austral Tierra del Fuego,TOTAL,3.66,3.33,2.81,3.36,0.00,3.19,3.49,2019-01
7,2019,1,Golfo de San Jorge,FIRME,4.75,3.43,2.84,3.91,0.00,3.96,0.00,2019-01
8,2019,1,Golfo de San Jorge,INTERRUMPIBLE,0.00,0.00,2.88,3.15,0.00,2.96,5.22,2019-01
9,2019,1,Golfo de San Jorge,TOTAL,4.75,3.43,2.87,3.85,0.00,3.79,5.22,2019-01
10,2019,1,Neuquina,FIRME,3.86,3.63,3.67,3.73,3.63,3.72,0.00,2019-01
11,2019,1,Neuquina,INTERRUMPIBLE,3.67,3.69,2.61,2.85,0.00,2.70,4.25,2019-01
12,2019,1,Neuquina,TOTAL,3.84,3.64,2.98,3.61,3.63,3.36,4.25,2019-01
13,2019,1,Noroeste,FIRME,3.83,3.88,0.00,4.79,0.00,4.51,0.00,2019-01
14,2019,1,Noroeste,INTERRUMPIBLE,0.00,4.30,3.29,4.88,0.00,3.81,0.00,2019-01
15,2019,1,Noroeste,TOTAL,3.83,3.95,3.29,4.81,0.00,4.25,0.00,2019-01
16,2019,1,Total Cuenca,FIRME,3.83,3.56,3.50,3.72,3.74,3.68,2.00,2019-01
17,2019,1,Total Cuenca,INTERRUMPIBLE,3.46,3.76,2.58,3.01,0.00,2.70,3.99,2019-01
18,2019,1,Total Cuenca,TOTAL,3.80,3.58,2.92,3.63,3.74,3.37,3.92,2019-01
19,2019,2,Austral Santa Cruz,FIRME,3.43,3.29,2.81,3.38,3.42,3.27,0.00,2019-02
20,2019,2,Austral Santa Cruz,INTERRUMPIBLE,3.65,0.00,2.20,2.36,0.00,2.34,3.00,2019-02
21,2019,2,Austral Santa Cruz,TOTAL,3.48,3.29,2.45,3.29,3.42,3.01,3.00,2019-02
22,2019,2,Austral Tierra del Fuego,FIRME,3.65,3.19,3.00,3.50,0.00,3.36,0.00,2019-02
23,2019,2,Austral Tierra del Fuego,INTERRUMPIBLE,3.52,0.00,2.15,2.52,0.00,2.23,3.22,2019-02
24,2019,2,Austral Tierra del Fuego,TOTAL,3.65,3.19,2.66,3.48,0.00,3.15,3.22,2019-02
25,2019,2,Golfo de San Jorge,FIRME,4.71,3.21,2.38,3.92,0.00,3.81,0.00,2019-02
26,2019,2,Golfo de San Jorge,INTERRUMPIBLE,4.60,0.00,2.85,2.90,0.00,2.89,5.22,2019-02
27,2019,2,Golfo de San Jorge,TOTAL,4.71,3.21,2.62,3.87,0.00,3.65,5.22,2019-02
28,2019,2,Neuquina,FIRME,3.87,3.40,3.50,3.66,3.57,3.63,0.00,2019-02
